batch_idx,timestep,trigger,rebalanced,selected_stocks,risk_eta,dir_logit_bear,dir_logit_side,dir_logit_bull,c_mkt_norm,c_mkt_diff,raw_return,turnover_penalty,symdiff_penalty,net_reward,baseline,advantage,advantage_norm,pg_loss,risk_loss,dir_loss,grad_norm,skipped_update
0,0,Schedule | Regime Shift (Initial),True,"30,108,58,66,115,37,97,18,10,50",1.097214698791504,-1.872305154800415,-1.294331431388855,-0.6066930294036865,7.999809265136719,0.0,0.017299849539995193,0.0,0.0,0.017299849539995193,0.014465689659118652,0.002834159880876541,0.21840408444404602,1.0336443185806274,0.5373024344444275,0.3415454030036926,2.7323880195617676,0.0
0,1,None,False,"30,108,58,66,115,37,97,18,10,50",1.0555037260055542,-2.3261375427246094,-1.3491909503936768,-0.7201536893844604,7.999699592590332,5.836601734161377,0.022216135635972023,0.0,0.0,0.022216135635972023,0.02477264404296875,-0.002556508406996727,0.233476921916008,0.0,0.7775317430496216,0.33278363943099976,2.7323880195617676,0.0
0,2,None,False,"30,108,58,66,115,37,97,18,10,50",1.1470296382904053,-1.7635295391082764,-1.032224416732788,-0.9866312742233276,7.999752998352051,5.477145671844482,0.023660147562623024,0.0,0.0,0.023660147562623024,0.024372220039367676,-0.0007120724767446518,0.05035669356584549,0.0,0.782505214214325,0.4259617328643799,2.7323880195617676,0.0
0,3,None,False,"30,108,58,66,115,37,97,18,10,50",1.1106913089752197,-2.1712398529052734,-1.356170892715454,-0.5764526128768921,7.999764919281006,4.7769880294799805,0.023348737508058548,0.0,0.0,0.023348737508058548,0.015082478523254395,0.008266258984804153,0.3478798568248749,0.0,0.9469917416572571,0.4146231412887573,2.7323880195617676,0.0
0,4,None,False,"30,108,58,66,115,37,97,18,10,50",1.10103178024292,-1.9917937517166138,-0.9453569650650024,-0.7399579286575317,7.999765396118164,6.085535526275635,0.039367884397506714,0.0,0.0,0.039367884397506714,0.02168118953704834,0.017686694860458374,0.5814405083656311,0.0,0.9215143322944641,0.4501801133155823,2.7323880195617676,0.0
0,5,None,False,"30,108,58,66,115,37,97,18,10,50",1.089285969734192,-1.95693039894104,-1.1551626920700073,-0.7204703688621521,7.999819755554199,4.428886413574219,0.036213796585798264,0.0,0.0,0.036213796585798264,0.021342158317565918,0.014871638268232346,0.6086839437484741,0.0,0.9653037190437317,0.4663454592227936,2.7323880195617676,0.0
0,6,None,False,"30,108,58,66,115,37,97,18,10,50",1.0912024974822998,-1.9722075462341309,-1.2640182971954346,-0.6844443082809448,7.999764919281006,2.9181463718414307,0.04929779842495918,0.0,0.0,0.04929779842495918,0.016625165939331055,0.03267263248562813,1.0217221975326538,0.0,0.9765889644622803,0.46007248759269714,2.7323880195617676,0.0
0,7,None,False,"30,108,58,66,115,37,97,18,10,50",1.139158844947815,-1.7945685386657715,-0.8595848083496094,-0.8378785848617554,7.999819755554199,4.030028820037842,0.022729117423295975,0.0,0.0,0.022729117423295975,0.004214882850646973,0.018514234572649002,0.8185036182403564,0.0,0.8842052221298218,0.44171279668807983,2.7323880195617676,0.0
0,8,None,False,"30,108,58,66,115,37,97,18,10,50",1.103594183921814,-1.9049893617630005,-0.9598434567451477,-0.8357726335525513,7.999817371368408,3.9236133098602295,0.021245384588837624,0.0,0.0,0.021245384588837624,0.010186076164245605,0.011059308424592018,0.47661155462265015,0.0,0.9789190292358398,0.4691121578216553,2.7323880195617676,0.0
0,9,None,False,"30,108,58,66,115,37,97,18,10,50",1.0948517322540283,-2.0178160667419434,-1.3430966138839722,-0.5214440822601318,7.999823093414307,4.490980625152588,0.010912900790572166,0.0,0.0,0.010912900790572166,0.008364081382751465,0.0025488194078207016,0.240406334400177,0.0,1.0160138607025146,0.5292247533798218,2.7323880195617676,0.0
0,10,None,False,"30,108,58,66,115,37,97,18,10,50",1.1444635391235352,-2.195831060409546,-1.298495888710022,-0.7490862011909485,7.9997382164001465,4.28594446182251,0.00538784870877862,0.0,0.0,0.00538784870877862,0.007823944091796875,-0.0024360953830182552,0.2791866958141327,0.0,1.082064151763916,0.5119435787200928,2.7323880195617676,0.0
0,11,None,False,"30,108,58,66,115,37,97,18,10,50",1.102568507194519,-2.1244213581085205,-1.116698980331421,-0.6728459596633911,7.999795913696289,4.440526008605957,-0.0007440865156240761,0.0,0.0,-0.0007440865156240761,0.008397698402404785,-0.009141785092651844,0.09602069854736328,0.0,1.0292203426361084,0.45100730657577515,2.7323880195617676,0.0
0,12,None,False,"30,108,58,66,115,37,97,18,10,50",0.9827062487602234,-1.8309881687164307,-1.225964069366455,-0.7242769002914429,7.9996514320373535,6.619480133056641,0.016153043136000633,0.0,0.0,0.016153043136000633,0.016896486282348633,-0.0007434431463479996,0.3015909790992737,0.0,0.99868243932724,0.4357810616493225,2.7323880195617676,0.0
0,13,None,False,"30,108,58,66,115,37,97,18,10,50",1.117532730102539,-1.914339303970337,-1.1793962717056274,-0.5427526235580444,7.999800205230713,7.529566764831543,0.013594090938568115,0.0,0.0,0.013594090938568115,0.023203611373901367,-0.009609520435333252,0.23080267012119293,0.0,1.1743961572647095,0.5085219740867615,2.7323880195617676,0.0
0,14,Schedule,True,"68,76,133,131,100,92,55,6,118,19",1.047956109046936,-1.8469995260238647,-0.6718965172767639,-0.8386703729629517,7.999707221984863,7.033875942230225,0.029770631343126297,0.15,0.02,-0.14022937417030334,0.02707076072692871,-0.16730013489723206,-0.8822266459465027,-4.431352138519287,1.131675362586975,0.4416210651397705,2.7323880195617676,0.0
0,15,None,False,"68,76,133,131,100,92,55,6,118,19",1.0703728199005127,-1.9297208786010742,-1.1288938522338867,-0.7058850526809692,7.999813556671143,4.996613502502441,0.010034906677901745,0.0,0.0,0.010034906677901745,0.01188671588897705,-0.001851809211075306,0.15500380098819733,0.0,0.9077885746955872,0.38359886407852173,2.7323880195617676,0.0
0,16,None,False,"68,76,133,131,100,92,55,6,118,19",1.0612986087799072,-2.032231092453003,-1.2928566932678223,-0.6639869213104248,7.999768257141113,2.9832935333251953,-0.006671100854873657,0.0,0.0,-0.006671100854873657,-0.0051239728927612305,-0.0015471279621124268,0.14030736684799194,0.0,0.8221360445022583,0.38141220808029175,2.7323880195617676,0.0
0,17,None,False,"68,76,133,131,100,92,55,6,118,19",1.0690959692001343,-1.8190172910690308,-1.1419532299041748,-0.6092207431793213,7.999793529510498,4.40626859664917,-0.007975715212523937,0.0,0.0,-0.007975715212523937,-0.0038726329803466797,-0.0041030822321772575,0.13801632821559906,0.0,0.7501517534255981,0.3148091733455658,2.7323880195617676,0.0
0,18,None,False,"68,76,133,131,100,92,55,6,118,19",1.0728803873062134,-1.9984583854675293,-1.1935771703720093,-0.5803364515304565,7.999768257141113,3.343320369720459,-0.022889811545610428,0.0,0.0,-0.022889811545610428,-0.007268011569976807,-0.015621799975633621,0.13909590244293213,0.0,0.7256238460540771,0.3807080388069153,2.7323880195617676,0.0
0,19,None,False,"68,76,133,131,100,92,55,6,118,19",1.0685572624206543,-1.9361761808395386,-1.2167587280273438,-0.8362340927124023,7.999818325042725,5.064361572265625,-0.03542066365480423,0.0,0.0,-0.03542066365480423,-0.012857675552368164,-0.022562988102436066,-0.049079615622758865,0.0,0.810803234577179,0.4043163061141968,2.7323880195617676,0.0
